Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
LD1B5	(12.0, 3.0)	(13.0, 30.0)	(14.0, 130.0)	(15.0, 202.0)	(16.0, 785.0)	(17.0, 1745.0)	(18.0, 2949.0)	(19.0, 3044.0)	(20.0, 5378.0)	(21.0, 6894.0)	(22.0, 8638.0)	(23.0, 10887.0)	(24.0, 19625.0)	(25.0, 38160.0)	(26.0, 70836.0)	(27.0, 95971.0)	(28.0, 135272.0)	(29.0, 278995.0)	(30.0, 758748.0)	(31.0, 788244.0)	(32.0, 364832.0)	(33.0, 356167.0)	(34.0, 693521.0)
LD1B6	(12.0, 1.0)	(13.0, 27.0)	(14.0, 171.0)	(15.0, 284.0)	(16.0, 929.0)	(17.0, 2042.0)	(18.0, 3408.0)	(19.0, 3577.0)	(20.0, 6078.0)	(21.0, 7927.0)	(22.0, 9903.0)	(23.0, 12294.0)	(24.0, 21096.0)	(25.0, 40582.0)	(26.0, 72323.0)	(27.0, 93485.0)	(28.0, 125764.0)	(29.0, 247777.0)	(30.0, 661883.0)	(31.0, 673611.0)	(32.0, 370656.0)	(33.0, 427840.0)	(34.0, 902905.0)
LD1B7	(12.0, 3.0)	(13.0, 19.0)	(14.0, 141.0)	(15.0, 270.0)	(16.0, 904.0)	(17.0, 1931.0)	(18.0, 3318.0)	(19.0, 3363.0)	(20.0, 5855.0)	(21.0, 7774.0)	(22.0, 9408.0)	(23.0, 11884.0)	(24.0, 21657.0)	(25.0, 41509.0)	(26.0, 77115.0)	(27.0, 103001.0)	(28.0, 145279.0)	(29.0, 304735.0)	(30.0, 824428.0)	(31.0, 827355.0)	(32.0, 377636.0)	(33.0, 374358.0)	(34.0, 717104.0)
LD1C1	(12.0, 5.0)	(13.0, 37.0)	(14.0, 144.0)	(15.0, 294.0)	(16.0, 987.0)	(17.0, 2258.0)	(18.0, 3780.0)	(19.0, 4174.0)	(20.0, 7300.0)	(21.0, 9437.0)	(22.0, 12361.0)	(23.0, 15298.0)	(24.0, 27312.0)	(25.0, 52322.0)	(26.0, 90610.0)	(27.0, 115928.0)	(28.0, 156299.0)	(29.0, 314596.0)	(30.0, 825462.0)	(31.0, 824791.0)	(32.0, 471866.0)	(33.0, 562713.0)	(34.0, 1223018.0)
LD1C10	(12.0, 4.0)	(13.0, 20.0)	(14.0, 47.0)	(15.0, 77.0)	(16.0, 390.0)	(17.0, 868.0)	(18.0, 1624.0)	(19.0, 1797.0)	(20.0, 3460.0)	(21.0, 5166.0)	(22.0, 7492.0)	(23.0, 10638.0)	(24.0, 21519.0)	(25.0, 45491.0)	(26.0, 88897.0)	(27.0, 122171.0)	(28.0, 181455.0)	(29.0, 415131.0)	(30.0, 1158271.0)	(31.0, 1181736.0)	(32.0, 466113.0)	(33.0, 419722.0)	(34.0, 928838.0)
LD1C2	(12.0, 4.0)	(13.0, 32.0)	(14.0, 136.0)	(15.0, 255.0)	(16.0, 852.0)	(17.0, 1845.0)	(18.0, 3336.0)	(19.0, 3545.0)	(20.0, 6076.0)	(21.0, 8289.0)	(22.0, 10276.0)	(23.0, 12619.0)	(24.0, 22521.0)	(25.0, 42110.0)	(26.0, 74915.0)	(27.0, 98096.0)	(28.0, 131204.0)	(29.0, 249634.0)	(30.0, 682332.0)	(31.0, 792317.0)	(32.0, 411236.0)	(33.0, 444038.0)	(34.0, 967111.0)
LD1C3	(13.0, 22.0)	(14.0, 123.0)	(15.0, 243.0)	(16.0, 797.0)	(17.0, 1723.0)	(18.0, 3168.0)	(19.0, 3371.0)	(20.0, 6023.0)	(21.0, 8294.0)	(22.0, 10506.0)	(23.0, 13958.0)	(24.0, 25572.0)	(25.0, 50074.0)	(26.0, 90690.0)	(27.0, 116950.0)	(28.0, 163795.0)	(29.0, 327641.0)	(30.0, 917364.0)	(31.0, 1042972.0)	(32.0, 488559.0)	(33.0, 487110.0)	(34.0, 1023469.0)	
LD1C4	(12.0, 3.0)	(13.0, 34.0)	(14.0, 158.0)	(15.0, 315.0)	(16.0, 1026.0)	(17.0, 2175.0)	(18.0, 3788.0)	(19.0, 3987.0)	(20.0, 6529.0)	(21.0, 8451.0)	(22.0, 10416.0)	(23.0, 12824.0)	(24.0, 23001.0)	(25.0, 43249.0)	(26.0, 78652.0)	(27.0, 106487.0)	(28.0, 147805.0)	(29.0, 292514.0)	(30.0, 789016.0)	(31.0, 877931.0)	(32.0, 405753.0)	(33.0, 384252.0)	(34.0, 797447.0)
LD1C5	(12.0, 2.0)	(13.0, 25.0)	(14.0, 162.0)	(15.0, 275.0)	(16.0, 939.0)	(17.0, 2054.0)	(18.0, 3532.0)	(19.0, 3605.0)	(20.0, 6301.0)	(21.0, 8296.0)	(22.0, 10568.0)	(23.0, 13793.0)	(24.0, 24984.0)	(25.0, 48172.0)	(26.0, 88640.0)	(27.0, 120753.0)	(28.0, 174568.0)	(29.0, 366330.0)	(30.0, 969868.0)	(31.0, 997218.0)	(32.0, 456679.0)	(33.0, 436497.0)	(34.0, 841653.0)
LD1C6	(12.0, 4.0)	(13.0, 21.0)	(14.0, 149.0)	(15.0, 245.0)	(16.0, 842.0)	(17.0, 1965.0)	(18.0, 3491.0)	(19.0, 3672.0)	(20.0, 6120.0)	(21.0, 8153.0)	(22.0, 10187.0)	(23.0, 12581.0)	(24.0, 22597.0)	(25.0, 41861.0)	(26.0, 73633.0)	(27.0, 95295.0)	(28.0, 129574.0)	(29.0, 256673.0)	(30.0, 677953.0)	(31.0, 684238.0)	(32.0, 372097.0)	(33.0, 432819.0)	(34.0, 922540.0)
