Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
O22B8	(12.0, 3.0)	(13.0, 16.0)	(14.0, 112.0)	(15.0, 194.0)	(16.0, 638.0)	(17.0, 1318.0)	(18.0, 2381.0)	(19.0, 2335.0)	(20.0, 4243.0)	(21.0, 5562.0)	(22.0, 7081.0)	(23.0, 9187.0)	(24.0, 16562.0)	(25.0, 32655.0)	(26.0, 60743.0)	(27.0, 82193.0)	(28.0, 122424.0)	(29.0, 264306.0)	(30.0, 689790.0)	(31.0, 665199.0)	(32.0, 285642.0)	(33.0, 263805.0)	(34.0, 504088.0)
O22C1	(12.0, 2.0)	(13.0, 19.0)	(14.0, 85.0)	(15.0, 155.0)	(16.0, 540.0)	(17.0, 1235.0)	(18.0, 2203.0)	(19.0, 2399.0)	(20.0, 4160.0)	(21.0, 5483.0)	(22.0, 7457.0)	(23.0, 9279.0)	(24.0, 16746.0)	(25.0, 31940.0)	(26.0, 56192.0)	(27.0, 71075.0)	(28.0, 95946.0)	(29.0, 195380.0)	(30.0, 511806.0)	(31.0, 504651.0)	(32.0, 289815.0)	(33.0, 347637.0)	(34.0, 753018.0)
O22C2	(12.0, 1.0)	(13.0, 18.0)	(14.0, 88.0)	(15.0, 149.0)	(16.0, 607.0)	(17.0, 1358.0)	(18.0, 2326.0)	(19.0, 2507.0)	(20.0, 4449.0)	(21.0, 6144.0)	(22.0, 7541.0)	(23.0, 9273.0)	(24.0, 16517.0)	(25.0, 31489.0)	(26.0, 58151.0)	(27.0, 78341.0)	(28.0, 103328.0)	(29.0, 195661.0)	(30.0, 540734.0)	(31.0, 647073.0)	(32.0, 315664.0)	(33.0, 333886.0)	(34.0, 952801.0)
O22C3	(12.0, 3.0)	(13.0, 17.0)	(14.0, 64.0)	(15.0, 132.0)	(16.0, 433.0)	(17.0, 988.0)	(18.0, 1802.0)	(19.0, 1991.0)	(20.0, 3615.0)	(21.0, 4971.0)	(22.0, 6326.0)	(23.0, 8858.0)	(24.0, 16328.0)	(25.0, 32579.0)	(26.0, 58331.0)	(27.0, 76077.0)	(28.0, 105946.0)	(29.0, 215050.0)	(30.0, 597504.0)	(31.0, 677108.0)	(32.0, 315380.0)	(33.0, 314326.0)	(34.0, 652864.0)
O22C4	(12.0, 2.0)	(13.0, 25.0)	(14.0, 126.0)	(15.0, 210.0)	(16.0, 699.0)	(17.0, 1635.0)	(18.0, 2669.0)	(19.0, 2871.0)	(20.0, 4904.0)	(21.0, 6388.0)	(22.0, 7791.0)	(23.0, 10112.0)	(24.0, 18049.0)	(25.0, 34576.0)	(26.0, 63219.0)	(27.0, 85581.0)	(28.0, 119347.0)	(29.0, 235919.0)	(30.0, 641941.0)	(31.0, 718446.0)	(32.0, 328111.0)	(33.0, 310474.0)	(34.0, 673140.0)
O22C5	(13.0, 14.0)	(14.0, 104.0)	(15.0, 160.0)	(16.0, 602.0)	(17.0, 1301.0)	(18.0, 2254.0)	(19.0, 2429.0)	(20.0, 4301.0)	(21.0, 5666.0)	(22.0, 7502.0)	(23.0, 9693.0)	(24.0, 17920.0)	(25.0, 34570.0)	(26.0, 63460.0)	(27.0, 86812.0)	(28.0, 125190.0)	(29.0, 264993.0)	(30.0, 702459.0)	(31.0, 724410.0)	(32.0, 326682.0)	(33.0, 311457.0)	(34.0, 601865.0)	
O22C6	(13.0, 17.0)	(14.0, 84.0)	(15.0, 158.0)	(16.0, 559.0)	(17.0, 1221.0)	(18.0, 2280.0)	(19.0, 2346.0)	(20.0, 4065.0)	(21.0, 5426.0)	(22.0, 6666.0)	(23.0, 8346.0)	(24.0, 14921.0)	(25.0, 27663.0)	(26.0, 50794.0)	(27.0, 67637.0)	(28.0, 89218.0)	(29.0, 174202.0)	(30.0, 462174.0)	(31.0, 498411.0)	(32.0, 251001.0)	(33.0, 282870.0)	(34.0, 884615.0)	
O22C7	(12.0, 5.0)	(13.0, 16.0)	(14.0, 93.0)	(15.0, 174.0)	(16.0, 664.0)	(17.0, 1343.0)	(18.0, 2419.0)	(19.0, 2439.0)	(20.0, 4210.0)	(21.0, 5664.0)	(22.0, 7165.0)	(23.0, 9318.0)	(24.0, 17044.0)	(25.0, 33351.0)	(26.0, 60450.0)	(27.0, 82247.0)	(28.0, 119239.0)	(29.0, 254527.0)	(30.0, 674581.0)	(31.0, 673906.0)	(32.0, 298952.0)	(33.0, 288927.0)	(34.0, 547408.0)
O22C8	(12.0, 1.0)	(13.0, 17.0)	(14.0, 76.0)	(15.0, 101.0)	(16.0, 463.0)	(17.0, 987.0)	(18.0, 1844.0)	(19.0, 1938.0)	(20.0, 3430.0)	(21.0, 4753.0)	(22.0, 6165.0)	(23.0, 8246.0)	(24.0, 15213.0)	(25.0, 30412.0)	(26.0, 57384.0)	(27.0, 80297.0)	(28.0, 121965.0)	(29.0, 269326.0)	(30.0, 703588.0)	(31.0, 676294.0)	(32.0, 271236.0)	(33.0, 245299.0)	(34.0, 474004.0)
O22D1	(12.0, 7.0)	(13.0, 26.0)	(14.0, 115.0)	(15.0, 195.0)	(16.0, 798.0)	(17.0, 1694.0)	(18.0, 2939.0)	(19.0, 2929.0)	(20.0, 5409.0)	(21.0, 6938.0)	(22.0, 8526.0)	(23.0, 10588.0)	(24.0, 18948.0)	(25.0, 35250.0)	(26.0, 62970.0)	(27.0, 80545.0)	(28.0, 107755.0)	(29.0, 216258.0)	(30.0, 568062.0)	(31.0, 569690.0)	(32.0, 321260.0)	(33.0, 384538.0)	(34.0, 913526.0)
O22D2	(12.0, 7.0)	(13.0, 17.0)	(14.0, 135.0)	(15.0, 244.0)	(16.0, 822.0)	(17.0, 1752.0)	(18.0, 3042.0)	(19.0, 3248.0)	(20.0, 5502.0)	(21.0, 7128.0)	(22.0, 8483.0)	(23.0, 10942.0)	(24.0, 18995.0)	(25.0, 35660.0)	(26.0, 63806.0)	(27.0, 82130.0)	(28.0, 108641.0)	(29.0, 208012.0)	(30.0, 569374.0)	(31.0, 660645.0)	(32.0, 345685.0)	(33.0, 378023.0)	(34.0, 834728.0)
O22D3	(12.0, 1.0)	(13.0, 18.0)	(14.0, 95.0)	(15.0, 158.0)	(16.0, 558.0)	(17.0, 1252.0)	(18.0, 2213.0)	(19.0, 2401.0)	(20.0, 4193.0)	(21.0, 5537.0)	(22.0, 7044.0)	(23.0, 8948.0)	(24.0, 16668.0)	(25.0, 32763.0)	(26.0, 61731.0)	(27.0, 83549.0)	(28.0, 113104.0)	(29.0, 226444.0)	(30.0, 649403.0)	(31.0, 758866.0)	(32.0, 330350.0)	(33.0, 316134.0)	(34.0, 831668.0)
O22D4	(12.0, 4.0)	(13.0, 25.0)	(14.0, 135.0)	(15.0, 271.0)	(16.0, 864.0)	(17.0, 1909.0)	(18.0, 3289.0)	(19.0, 3229.0)	(20.0, 5382.0)	(21.0, 6883.0)	(22.0, 8271.0)	(23.0, 10367.0)	(24.0, 18269.0)	(25.0, 34430.0)	(26.0, 62616.0)	(27.0, 84274.0)	(28.0, 115752.0)	(29.0, 226360.0)	(30.0, 616511.0)	(31.0, 690035.0)	(32.0, 325960.0)	(33.0, 314464.0)	(34.0, 663294.0)
O22D5	(12.0, 2.0)	(13.0, 16.0)	(14.0, 109.0)	(15.0, 197.0)	(16.0, 664.0)	(17.0, 1491.0)	(18.0, 2690.0)	(19.0, 2752.0)	(20.0, 4687.0)	(21.0, 6035.0)	(22.0, 7486.0)	(23.0, 9374.0)	(24.0, 17104.0)	(25.0, 32857.0)	(26.0, 62347.0)	(27.0, 86715.0)	(28.0, 122414.0)	(29.0, 255709.0)	(30.0, 698195.0)	(31.0, 737989.0)	(32.0, 319366.0)	(33.0, 301437.0)	(34.0, 674313.0)
O22D6	(12.0, 2.0)	(13.0, 29.0)	(14.0, 138.0)	(15.0, 269.0)	(16.0, 879.0)	(17.0, 1877.0)	(18.0, 3209.0)	(19.0, 3337.0)	(20.0, 5719.0)	(21.0, 7413.0)	(22.0, 9340.0)	(23.0, 11657.0)	(24.0, 20446.0)	(25.0, 38959.0)	(26.0, 68744.0)	(27.0, 88128.0)	(28.0, 119893.0)	(29.0, 241000.0)	(30.0, 640758.0)	(31.0, 630719.0)	(32.0, 341464.0)	(33.0, 400782.0)	(34.0, 877524.0)
O22D7	(13.0, 29.0)	(14.0, 129.0)	(15.0, 222.0)	(16.0, 788.0)	(17.0, 1736.0)	(18.0, 2959.0)	(19.0, 3098.0)	(20.0, 5242.0)	(21.0, 6711.0)	(22.0, 8041.0)	(23.0, 9835.0)	(24.0, 17749.0)	(25.0, 34595.0)	(26.0, 67315.0)	(27.0, 95967.0)	(28.0, 136878.0)	(29.0, 296675.0)	(30.0, 831299.0)	(31.0, 848185.0)	(32.0, 320816.0)	(33.0, 290440.0)	(34.0, 710220.0)	
O22D8	(12.0, 2.0)	(13.0, 11.0)	(14.0, 108.0)	(15.0, 194.0)	(16.0, 609.0)	(17.0, 1262.0)	(18.0, 2276.0)	(19.0, 2347.0)	(20.0, 4101.0)	(21.0, 5493.0)	(22.0, 7318.0)	(23.0, 9672.0)	(24.0, 17956.0)	(25.0, 35537.0)	(26.0, 65233.0)	(27.0, 90361.0)	(28.0, 134743.0)	(29.0, 296793.0)	(30.0, 777121.0)	(31.0, 756559.0)	(32.0, 319781.0)	(33.0, 291057.0)	(34.0, 524414.0)
highN4A1	(13.0, 10.0)	(14.0, 49.0)	(15.0, 75.0)	(16.0, 263.0)	(17.0, 699.0)	(18.0, 1230.0)	(19.0, 1314.0)	(20.0, 2427.0)	(21.0, 3771.0)	(22.0, 5780.0)	(23.0, 8240.0)	(24.0, 12402.0)	(25.0, 16530.0)	(26.0, 18742.0)	(27.0, 29762.0)	(28.0, 62782.0)	(29.0, 145696.0)	(30.0, 458078.0)	(31.0, 527859.0)	(32.0, 223061.0)	(33.0, 236341.0)	(34.0, 474259.0)	
highN4A2	(12.0, 2.0)	(13.0, 9.0)	(14.0, 47.0)	(15.0, 95.0)	(16.0, 343.0)	(17.0, 739.0)	(18.0, 1355.0)	(19.0, 1498.0)	(20.0, 2666.0)	(21.0, 3833.0)	(22.0, 5791.0)	(23.0, 8222.0)	(24.0, 12531.0)	(25.0, 16416.0)	(26.0, 18831.0)	(27.0, 30498.0)	(28.0, 63276.0)	(29.0, 144687.0)	(30.0, 457288.0)	(31.0, 524936.0)	(32.0, 215065.0)	(33.0, 224244.0)	(34.0, 454865.0)
highN4A3	(12.0, 1.0)	(13.0, 10.0)	(14.0, 69.0)	(15.0, 106.0)	(16.0, 416.0)	(17.0, 834.0)	(18.0, 1518.0)	(19.0, 1697.0)	(20.0, 3062.0)	(21.0, 4477.0)	(22.0, 6624.0)	(23.0, 9339.0)	(24.0, 13794.0)	(25.0, 18336.0)	(26.0, 20436.0)	(27.0, 33359.0)	(28.0, 69262.0)	(29.0, 159261.0)	(30.0, 506831.0)	(31.0, 587860.0)	(32.0, 242665.0)	(33.0, 259965.0)	(34.0, 541060.0)
highN4A4	(13.0, 18.0)	(14.0, 58.0)	(15.0, 112.0)	(16.0, 453.0)	(17.0, 949.0)	(18.0, 1651.0)	(19.0, 1791.0)	(20.0, 3183.0)	(21.0, 4635.0)	(22.0, 7100.0)	(23.0, 9915.0)	(24.0, 14553.0)	(25.0, 19341.0)	(26.0, 22459.0)	(27.0, 36157.0)	(28.0, 74664.0)	(29.0, 170036.0)	(30.0, 531981.0)	(31.0, 613941.0)	(32.0, 254794.0)	(33.0, 265479.0)	(34.0, 561899.0)	
highN4A5	(12.0, 2.0)	(13.0, 8.0)	(14.0, 55.0)	(15.0, 87.0)	(16.0, 296.0)	(17.0, 653.0)	(18.0, 1190.0)	(19.0, 1379.0)	(20.0, 2383.0)	(21.0, 3472.0)	(22.0, 5205.0)	(23.0, 7320.0)	(24.0, 11000.0)	(25.0, 14746.0)	(26.0, 16640.0)	(27.0, 26988.0)	(28.0, 56076.0)	(29.0, 128216.0)	(30.0, 402632.0)	(31.0, 464918.0)	(32.0, 190082.0)	(33.0, 196194.0)	(34.0, 388299.0)
highN4A6	(13.0, 14.0)	(14.0, 57.0)	(15.0, 80.0)	(16.0, 309.0)	(17.0, 696.0)	(18.0, 1299.0)	(19.0, 1458.0)	(20.0, 2483.0)	(21.0, 3629.0)	(22.0, 5608.0)	(23.0, 8029.0)	(24.0, 12113.0)	(25.0, 16296.0)	(26.0, 18288.0)	(27.0, 29352.0)	(28.0, 61247.0)	(29.0, 140478.0)	(30.0, 441147.0)	(31.0, 510464.0)	(32.0, 219265.0)	(33.0, 237765.0)	(34.0, 484885.0)	
highN4A7	(13.0, 4.0)	(14.0, 46.0)	(15.0, 78.0)	(16.0, 284.0)	(17.0, 629.0)	(18.0, 1254.0)	(19.0, 1356.0)	(20.0, 2510.0)	(21.0, 3779.0)	(22.0, 5931.0)	(23.0, 8617.0)	(24.0, 12712.0)	(25.0, 17035.0)	(26.0, 18761.0)	(27.0, 30541.0)	(28.0, 64725.0)	(29.0, 152006.0)	(30.0, 484158.0)	(31.0, 557504.0)	(32.0, 230334.0)	(33.0, 242837.0)	(34.0, 504087.0)	
highN4A8	(12.0, 1.0)	(13.0, 4.0)	(14.0, 61.0)	(15.0, 94.0)	(16.0, 361.0)	(17.0, 749.0)	(18.0, 1499.0)	(19.0, 1557.0)	(20.0, 2804.0)	(21.0, 4023.0)	(22.0, 6172.0)	(23.0, 8558.0)	(24.0, 12623.0)	(25.0, 16937.0)	(26.0, 19076.0)	(27.0, 31332.0)	(28.0, 64986.0)	(29.0, 148028.0)	(30.0, 462853.0)	(31.0, 532385.0)	(32.0, 219580.0)	(33.0, 232246.0)	(34.0, 491903.0)
highN4B1	(12.0, 2.0)	(13.0, 13.0)	(14.0, 79.0)	(15.0, 120.0)	(16.0, 394.0)	(17.0, 892.0)	(18.0, 1555.0)	(19.0, 1581.0)	(20.0, 2947.0)	(21.0, 4046.0)	(22.0, 6043.0)	(23.0, 8227.0)	(24.0, 12109.0)	(25.0, 16311.0)	(26.0, 18986.0)	(27.0, 32175.0)	(28.0, 67276.0)	(29.0, 161161.0)	(30.0, 477883.0)	(31.0, 501242.0)	(32.0, 201920.0)	(33.0, 205662.0)	(34.0, 399534.0)
highN4B2	(12.0, 1.0)	(13.0, 11.0)	(14.0, 64.0)	(15.0, 129.0)	(16.0, 461.0)	(17.0, 977.0)	(18.0, 1817.0)	(19.0, 1838.0)	(20.0, 3290.0)	(21.0, 4710.0)	(22.0, 6974.0)	(23.0, 9518.0)	(24.0, 14144.0)	(25.0, 18615.0)	(26.0, 22370.0)	(27.0, 37847.0)	(28.0, 78327.0)	(29.0, 187991.0)	(30.0, 551142.0)	(31.0, 572791.0)	(32.0, 227916.0)	(33.0, 229408.0)	(34.0, 438427.0)
highN4B3	(12.0, 1.0)	(13.0, 12.0)	(14.0, 54.0)	(15.0, 123.0)	(16.0, 390.0)	(17.0, 883.0)	(18.0, 1708.0)	(19.0, 1776.0)	(20.0, 3198.0)	(21.0, 4599.0)	(22.0, 7047.0)	(23.0, 9841.0)	(24.0, 14933.0)	(25.0, 19852.0)	(26.0, 22940.0)	(27.0, 38324.0)	(28.0, 81239.0)	(29.0, 195217.0)	(30.0, 586291.0)	(31.0, 618934.0)	(32.0, 251380.0)	(33.0, 257717.0)	(34.0, 492543.0)
highN4B4	(13.0, 22.0)	(14.0, 88.0)	(15.0, 130.0)	(16.0, 455.0)	(17.0, 1117.0)	(18.0, 1960.0)	(19.0, 1943.0)	(20.0, 3444.0)	(21.0, 5145.0)	(22.0, 7603.0)	(23.0, 10487.0)	(24.0, 15724.0)	(25.0, 21163.0)	(26.0, 25216.0)	(27.0, 42770.0)	(28.0, 89703.0)	(29.0, 213911.0)	(30.0, 616302.0)	(31.0, 640929.0)	(32.0, 261629.0)	(33.0, 254902.0)	(34.0, 463079.0)	
highN4B5	(12.0, 1.0)	(13.0, 17.0)	(14.0, 86.0)	(15.0, 149.0)	(16.0, 558.0)	(17.0, 1203.0)	(18.0, 2088.0)	(19.0, 2192.0)	(20.0, 3887.0)	(21.0, 5498.0)	(22.0, 8268.0)	(23.0, 11280.0)	(24.0, 17108.0)	(25.0, 22551.0)	(26.0, 26486.0)	(27.0, 44867.0)	(28.0, 93917.0)	(29.0, 223178.0)	(30.0, 657069.0)	(31.0, 692715.0)	(32.0, 276576.0)	(33.0, 273891.0)	(34.0, 535894.0)
highN4B6	(12.0, 2.0)	(13.0, 18.0)	(14.0, 70.0)	(15.0, 109.0)	(16.0, 442.0)	(17.0, 858.0)	(18.0, 1540.0)	(19.0, 1735.0)	(20.0, 2970.0)	(21.0, 4265.0)	(22.0, 6430.0)	(23.0, 8951.0)	(24.0, 13356.0)	(25.0, 17976.0)	(26.0, 20887.0)	(27.0, 35110.0)	(28.0, 73102.0)	(29.0, 175611.0)	(30.0, 513670.0)	(31.0, 537196.0)	(32.0, 225627.0)	(33.0, 233955.0)	(34.0, 450143.0)
highN4B7	(12.0, 2.0)	(13.0, 10.0)	(14.0, 60.0)	(15.0, 88.0)	(16.0, 346.0)	(17.0, 815.0)	(18.0, 1399.0)	(19.0, 1603.0)	(20.0, 2958.0)	(21.0, 4375.0)	(22.0, 6662.0)	(23.0, 9495.0)	(24.0, 14169.0)	(25.0, 18737.0)	(26.0, 22048.0)	(27.0, 36834.0)	(28.0, 79443.0)	(29.0, 193815.0)	(30.0, 576408.0)	(31.0, 601052.0)	(32.0, 243701.0)	(33.0, 248153.0)	(34.0, 467974.0)
highN4B8	(12.0, 3.0)	(13.0, 16.0)	(14.0, 84.0)	(15.0, 121.0)	(16.0, 467.0)	(17.0, 980.0)	(18.0, 1747.0)	(19.0, 1857.0)	(20.0, 3178.0)	(21.0, 4607.0)	(22.0, 6769.0)	(23.0, 9373.0)	(24.0, 13907.0)	(25.0, 18814.0)	(26.0, 22809.0)	(27.0, 38287.0)	(28.0, 78994.0)	(29.0, 188614.0)	(30.0, 549030.0)	(31.0, 566625.0)	(32.0, 228241.0)	(33.0, 228019.0)	(34.0, 420216.0)
highN4C1	(13.0, 9.0)	(14.0, 42.0)	(15.0, 82.0)	(16.0, 261.0)	(17.0, 637.0)	(18.0, 1157.0)	(19.0, 1313.0)	(20.0, 2509.0)	(21.0, 3664.0)	(22.0, 5864.0)	(23.0, 8134.0)	(24.0, 12680.0)	(25.0, 16644.0)	(26.0, 18845.0)	(27.0, 31628.0)	(28.0, 67561.0)	(29.0, 162440.0)	(30.0, 497952.0)	(31.0, 544960.0)	(32.0, 218617.0)	(33.0, 224925.0)	(34.0, 435484.0)	
highN4C2	(12.0, 1.0)	(13.0, 13.0)	(14.0, 59.0)	(15.0, 105.0)	(16.0, 334.0)	(17.0, 845.0)	(18.0, 1475.0)	(19.0, 1509.0)	(20.0, 2796.0)	(21.0, 4157.0)	(22.0, 6437.0)	(23.0, 9042.0)	(24.0, 13426.0)	(25.0, 17626.0)	(26.0, 20169.0)	(27.0, 33548.0)	(28.0, 71089.0)	(29.0, 168979.0)	(30.0, 517067.0)	(31.0, 565285.0)	(32.0, 221598.0)	(33.0, 228226.0)	(34.0, 466545.0)
highN4C3	(12.0, 3.0)	(13.0, 13.0)	(14.0, 41.0)	(15.0, 82.0)	(16.0, 292.0)	(17.0, 610.0)	(18.0, 1103.0)	(19.0, 1275.0)	(20.0, 2358.0)	(21.0, 3331.0)	(22.0, 5247.0)	(23.0, 7474.0)	(24.0, 11386.0)	(25.0, 15149.0)	(26.0, 17327.0)	(27.0, 28255.0)	(28.0, 59377.0)	(29.0, 142145.0)	(30.0, 445230.0)	(31.0, 490725.0)	(32.0, 199908.0)	(33.0, 212077.0)	(34.0, 417814.0)
highN4C4	(13.0, 16.0)	(14.0, 65.0)	(15.0, 106.0)	(16.0, 373.0)	(17.0, 855.0)	(18.0, 1408.0)	(19.0, 1561.0)	(20.0, 2858.0)	(21.0, 4189.0)	(22.0, 6572.0)	(23.0, 9021.0)	(24.0, 13629.0)	(25.0, 18195.0)	(26.0, 20761.0)	(27.0, 34595.0)	(28.0, 73566.0)	(29.0, 173553.0)	(30.0, 525160.0)	(31.0, 571576.0)	(32.0, 229235.0)	(33.0, 231521.0)	(34.0, 458455.0)	
highN4C5	(12.0, 1.0)	(13.0, 11.0)	(14.0, 61.0)	(15.0, 94.0)	(16.0, 347.0)	(17.0, 710.0)	(18.0, 1222.0)	(19.0, 1420.0)	(20.0, 2626.0)	(21.0, 3687.0)	(22.0, 5635.0)	(23.0, 8254.0)	(24.0, 12388.0)	(25.0, 16198.0)	(26.0, 18558.0)	(27.0, 31039.0)	(28.0, 65682.0)	(29.0, 154601.0)	(30.0, 471188.0)	(31.0, 516111.0)	(32.0, 204069.0)	(33.0, 206476.0)	(34.0, 407103.0)
highN4C6	(12.0, 1.0)	(13.0, 6.0)	(14.0, 28.0)	(15.0, 61.0)	(16.0, 211.0)	(17.0, 490.0)	(18.0, 939.0)	(19.0, 1016.0)	(20.0, 1869.0)	(21.0, 2816.0)	(22.0, 4519.0)	(23.0, 6420.0)	(24.0, 9720.0)	(25.0, 12830.0)	(26.0, 14408.0)	(27.0, 23628.0)	(28.0, 51128.0)	(29.0, 122508.0)	(30.0, 379032.0)	(31.0, 415008.0)	(32.0, 166911.0)	(33.0, 173756.0)	(34.0, 353810.0)
highN4C7	(12.0, 1.0)	(13.0, 12.0)	(14.0, 46.0)	(15.0, 78.0)	(16.0, 298.0)	(17.0, 614.0)	(18.0, 1183.0)	(19.0, 1322.0)	(20.0, 2411.0)	(21.0, 3669.0)	(22.0, 5688.0)	(23.0, 8203.0)	(24.0, 12504.0)	(25.0, 16729.0)	(26.0, 18769.0)	(27.0, 31060.0)	(28.0, 66708.0)	(29.0, 160717.0)	(30.0, 495438.0)	(31.0, 540168.0)	(32.0, 216169.0)	(33.0, 225333.0)	(34.0, 434793.0)
highN4C8	(13.0, 17.0)	(14.0, 67.0)	(15.0, 99.0)	(16.0, 344.0)	(17.0, 727.0)	(18.0, 1327.0)	(19.0, 1468.0)	(20.0, 2668.0)	(21.0, 3897.0)	(22.0, 5728.0)	(23.0, 8301.0)	(24.0, 12373.0)	(25.0, 16322.0)	(26.0, 18868.0)	(27.0, 31308.0)	(28.0, 66308.0)	(29.0, 155845.0)	(30.0, 472215.0)	(31.0, 514958.0)	(32.0, 205267.0)	(33.0, 211838.0)	(34.0, 420573.0)	
highN4D1	(12.0, 1.0)	(13.0, 6.0)	(14.0, 49.0)	(15.0, 106.0)	(16.0, 379.0)	(17.0, 834.0)	(18.0, 1476.0)	(19.0, 1610.0)	(20.0, 2873.0)	(21.0, 4156.0)	(22.0, 6400.0)	(23.0, 9172.0)	(24.0, 13607.0)	(25.0, 18124.0)	(26.0, 21017.0)	(27.0, 36008.0)	(28.0, 76600.0)	(29.0, 186851.0)	(30.0, 551725.0)	(31.0, 577269.0)	(32.0, 231351.0)	(33.0, 234527.0)	(34.0, 445152.0)
highN4D2	(12.0, 1.0)	(13.0, 16.0)	(14.0, 65.0)	(15.0, 131.0)	(16.0, 424.0)	(17.0, 975.0)	(18.0, 1742.0)	(19.0, 1794.0)	(20.0, 3197.0)	(21.0, 4620.0)	(22.0, 6782.0)	(23.0, 9428.0)	(24.0, 14092.0)	(25.0, 19120.0)	(26.0, 22597.0)	(27.0, 38946.0)	(28.0, 81184.0)	(29.0, 193765.0)	(30.0, 568721.0)	(31.0, 588955.0)	(32.0, 230800.0)	(33.0, 230481.0)	(34.0, 422868.0)
highN4D3	(13.0, 16.0)	(14.0, 56.0)	(15.0, 101.0)	(16.0, 394.0)	(17.0, 803.0)	(18.0, 1460.0)	(19.0, 1588.0)	(20.0, 2914.0)	(21.0, 4267.0)	(22.0, 6403.0)	(23.0, 9060.0)	(24.0, 13505.0)	(25.0, 18113.0)	(26.0, 20680.0)	(27.0, 35459.0)	(28.0, 75454.0)	(29.0, 184794.0)	(30.0, 549586.0)	(31.0, 574978.0)	(32.0, 231476.0)	(33.0, 235931.0)	(34.0, 464372.0)	
highN4D4	(12.0, 2.0)	(13.0, 15.0)	(14.0, 55.0)	(15.0, 119.0)	(16.0, 368.0)	(17.0, 816.0)	(18.0, 1486.0)	(19.0, 1676.0)	(20.0, 2825.0)	(21.0, 4107.0)	(22.0, 6010.0)	(23.0, 8498.0)	(24.0, 12591.0)	(25.0, 16721.0)	(26.0, 20653.0)	(27.0, 34539.0)	(28.0, 71945.0)	(29.0, 170929.0)	(30.0, 492917.0)	(31.0, 513105.0)	(32.0, 204784.0)	(33.0, 201955.0)	(34.0, 371626.0)
highN4D5	(13.0, 10.0)	(14.0, 84.0)	(15.0, 127.0)	(16.0, 415.0)	(17.0, 828.0)	(18.0, 1455.0)	(19.0, 1622.0)	(20.0, 2869.0)	(21.0, 4068.0)	(22.0, 6207.0)	(23.0, 8676.0)	(24.0, 12951.0)	(25.0, 16991.0)	(26.0, 20102.0)	(27.0, 34358.0)	(28.0, 71292.0)	(29.0, 169868.0)	(30.0, 498998.0)	(31.0, 523006.0)	(32.0, 203816.0)	(33.0, 202316.0)	(34.0, 389820.0)	
highN4D6	(12.0, 1.0)	(13.0, 9.0)	(14.0, 74.0)	(15.0, 118.0)	(16.0, 374.0)	(17.0, 866.0)	(18.0, 1524.0)	(19.0, 1555.0)	(20.0, 2777.0)	(21.0, 3989.0)	(22.0, 5953.0)	(23.0, 8369.0)	(24.0, 12480.0)	(25.0, 16832.0)	(26.0, 19957.0)	(27.0, 33335.0)	(28.0, 70245.0)	(29.0, 171183.0)	(30.0, 509548.0)	(31.0, 530612.0)	(32.0, 209720.0)	(33.0, 211717.0)	(34.0, 391126.0)
