Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
O22C6	(1.0, 35.557440687333994)	(2.0, 3.632941891374144)	(3.0, 1.9891934064528136)	(4.0, 1.4597396407709704)	(5.0, 1.1395826850803574)	(6.0, 0.9237397994332772)	(7.0, 0.818249258836405)	(8.0, 0.692930298846696)	(9.0, 0.6202551145430639)	('>10', 9.223294781941483)	('>50', 2.9699102127618224)	('>100', 5.202885308610829)	('>500', 1.2658410971647682)	('>1k', 3.0191929672429074)	('>5k', 2.0701664651111846)	('>10k+', 29.414636384495296)
O22C7	(1.0, 64.71923880755223)	(2.0, 1.2415063578660877)	(3.0, 0.7990957056959489)	(4.0, 0.7002516613959775)	(5.0, 0.6910640161033522)	(6.0, 0.657283281322929)	(7.0, 0.6340704005761886)	(8.0, 0.6230308443174971)	(9.0, 0.6190542413874086)	('>10', 15.380918216723519)	('>50', 6.827194234109962)	('>100', 5.639484836440296)	('>500', 0.49141929783250915)	('>1k', 0.5384887659594256)	('>5k', 0.4378993327166936)	('>10k+', 0.0)
O22C8	(1.0, 60.29699156637858)	(2.0, 3.111760283189471)	(3.0, 1.6270871991435425)	(4.0, 1.2379383168571618)	(5.0, 1.0054664908029054)	(6.0, 0.9020286065757712)	(7.0, 0.7552547136491916)	(8.0, 0.676424477869065)	(9.0, 0.6524069868186364)	('>10', 10.625698971362945)	('>50', 3.983018343752711)	('>100', 5.318123107128337)	('>500', 1.065196265118456)	('>1k', 2.8807697440145787)	('>5k', 0.5205377156224158)	('>10k+', 5.341297211716232)
O22D1	(1.0, 49.87516115295678)	(2.0, 1.8213968038560464)	(3.0, 1.00003249621488)	(4.0, 0.8219196844993093)	(5.0, 0.7253899281637602)	(6.0, 0.6234923571255461)	(7.0, 0.6043983564316973)	(8.0, 0.5707981705139256)	(9.0, 0.5482456912580831)	('>10', 12.930009329532592)	('>50', 6.776740213272782)	('>100', 9.37984565128039)	('>500', 1.8342502636316063)	('>1k', 3.1202527728330267)	('>5k', 1.334901928022205)	('>10k+', 8.033165200407383)
O22D2	(1.0, 57.22141025210459)	(2.0, 0.9277526699383415)	(3.0, 0.6155768056750873)	(4.0, 0.5547624201766291)	(5.0, 0.537786137764511)	(6.0, 0.5013500821521198)	(7.0, 0.5226313978285559)	(8.0, 0.5015698180337573)	(9.0, 0.46702545796925254)	('>10', 16.02046031331073)	('>50', 9.834320736946223)	('>100', 10.181497978444542)	('>500', 0.791753957269036)	('>1k', 0.8019938907423986)	('>5k', 0.5201080816442166)	('>10k+', 0.0)
O22D3	(1.0, 43.01165695607916)	(2.0, 3.947258874590762)	(3.0, 2.229314691820744)	(4.0, 1.5641259850563818)	(5.0, 1.3185389796778915)	(6.0, 1.030091424869415)	(7.0, 0.8830197691815509)	(8.0, 0.7396135704966114)	(9.0, 0.6257357767040745)	('>10', 9.379595813196824)	('>50', 3.3979040022136613)	('>100', 5.43961402691083)	('>500', 1.0767669742880137)	('>1k', 2.574993617786191)	('>5k', 2.1410094395381787)	('>10k+', 20.64076009758973)
O22D4	(1.0, 61.56367211812075)	(2.0, 1.2067535914006373)	(3.0, 0.7123796469717111)	(4.0, 0.658662968450288)	(5.0, 0.5990879457067619)	(6.0, 0.6024101329070455)	(7.0, 0.5451928732684765)	(8.0, 0.5415548774437503)	(9.0, 0.5618322726999886)	('>10', 15.256458395024897)	('>50', 7.919683676086973)	('>100', 7.682968629641721)	('>500', 0.5896940903931082)	('>1k', 1.0118597151620283)	('>5k', 0.5477890667219348)	('>10k+', 0.0)
O22D5	(1.0, 53.03168568604922)	(2.0, 3.396027698907738)	(3.0, 1.8471392720908482)	(4.0, 1.3194449000636572)	(5.0, 1.0435149722481036)	(6.0, 0.8783243912910849)	(7.0, 0.6986117993321741)	(8.0, 0.6578005797662179)	(9.0, 0.5648376762737465)	('>10', 9.18818261006982)	('>50', 4.032118246855039)	('>100', 6.360691672492309)	('>500', 1.608363441037039)	('>1k', 3.13959852436855)	('>5k', 1.252354871187451)	('>10k+', 10.981303657966963)
O22D6	(1.0, 57.444570444503796)	(2.0, 0.9846385915631022)	(3.0, 0.5270400110978037)	(4.0, 0.5032275051800549)	(5.0, 0.48906587179526506)	(6.0, 0.4775485968849271)	(7.0, 0.41503717783845145)	(8.0, 0.44659319233229694)	(9.0, 0.4384113330445035)	('>10', 15.124150044324525)	('>50', 9.90985806448385)	('>100', 11.09705943790959)	('>500', 0.751573308243216)	('>1k', 0.8774903494667129)	('>5k', 0.23328075892977193)	('>10k+', 0.2804553124022369)
O22D7	(1.0, 41.64810601963648)	(2.0, 4.360336913414845)	(3.0, 2.4159814970425555)	(4.0, 1.7421039022142495)	(5.0, 1.3840154665287538)	(6.0, 1.0948359056831523)	(7.0, 0.9137202946367359)	(8.0, 0.7854463251795442)	(9.0, 0.7012410934724026)	('>10', 9.098791973584413)	('>50', 3.4651829121871662)	('>100', 6.29668623282536)	('>500', 1.0846328940868155)	('>1k', 2.6155310407952785)	('>5k', 1.292908286557287)	('>10k+', 21.100479242154893)
O22D8	(1.0, 67.6744447186539)	(2.0, 1.4052523548346403)	(3.0, 0.8122823694000421)	(4.0, 0.7461233806902207)	(5.0, 0.701197096682581)	(6.0, 0.6525756131956635)	(7.0, 0.6219372368104138)	(8.0, 0.5678371010610604)	(9.0, 0.5538326272724825)	('>10', 13.642447168666957)	('>50', 5.441171077123295)	('>100', 4.584141074787442)	('>500', 0.6838266198194946)	('>1k', 1.3160764362423978)	('>5k', 0.17350165980017035)	('>10k+', 0.4233534649592422)
highN4A1	(1.0, 55.91078693347021)	(2.0, 1.5900480729746524)	(3.0, 0.9697595398783124)	(4.0, 0.7929740706249839)	(5.0, 0.8020574417119879)	(6.0, 0.7848188498846325)	(7.0, 0.8133960866912123)	(8.0, 0.8010917660779551)	(9.0, 0.8036762657238634)	('>10', 22.33149598025715)	('>50', 8.124664352892156)	('>100', 5.122655046395938)	('>500', 0.46523269746724394)	('>1k', 0.42390233546582645)	('>5k', 0.2634405604838393)	('>10k+', 0.0)
highN4A2	(1.0, 57.122681178978965)	(2.0, 1.7423609519821053)	(3.0, 0.9895061852562698)	(4.0, 0.8498886479073989)	(5.0, 0.8470338942376066)	(6.0, 0.8204691025954244)	(7.0, 0.8042259583707155)	(8.0, 0.8041275554237975)	(9.0, 0.7834498782333712)	('>10', 20.774227566401198)	('>50', 7.325353633312201)	('>100', 5.1620385450291275)	('>500', 0.8329887269474235)	('>1k', 1.1416481753244396)	('>5k', 0.0)	('>10k+', 0.0)
highN4A3	(1.0, 54.90040435354374)	(2.0, 2.100902150737273)	(3.0, 0.9602754750871877)	(4.0, 0.7661894071581044)	(5.0, 0.6409355739924472)	(6.0, 0.6703204550290504)	(7.0, 0.5271712828821131)	(8.0, 0.547468071458096)	(9.0, 0.5426081961338127)	('>10', 11.804515306969481)	('>50', 7.283659766477156)	('>100', 12.934080837854955)	('>500', 1.9904160234588704)	('>1k', 3.375312787720661)	('>5k', 0.48296276223012674)	('>10k+', 0.472777549266933)
highN4A4	(1.0, 53.83870457522807)	(2.0, 2.534320966808676)	(3.0, 1.066483900479665)	(4.0, 0.7697115972578167)	(5.0, 0.6145850819226434)	(6.0, 0.5266146606737832)	(7.0, 0.4327822425242953)	(8.0, 0.3816611510774542)	(9.0, 0.38405544753351767)	('>10', 8.603445596271717)	('>50', 5.823936655993949)	('>100', 14.30753761133505)	('>500', 3.4190780380389487)	('>1k', 4.3819070696288085)	('>5k', 1.6941048153822167)	('>10k+', 1.2210705898434542)
highN4A5	(1.0, 57.80905582096595)	(2.0, 1.6236270294102007)	(3.0, 1.0098674822279874)	(4.0, 0.9380299146942797)	(5.0, 0.9656361197074571)	(6.0, 0.9379007015341843)	(7.0, 0.9615071164838701)	(8.0, 0.9505437671072845)	(9.0, 0.9343576177506783)	('>10', 22.594319428731836)	('>50', 6.579817245974651)	('>100', 3.7755598564915034)	('>500', 0.24963711405438577)	('>1k', 0.6701407848657552)	('>5k', 0.0)	('>10k+', 0.0)
highN4A6	(1.0, 54.66624535808391)	(2.0, 1.6189747028355654)	(3.0, 0.9482442307006669)	(4.0, 0.8792088763945504)	(5.0, 0.8139345344868123)	(6.0, 0.791728105941256)	(7.0, 0.7788606804942817)	(8.0, 0.8080019330251048)	(9.0, 0.7918336705214092)	('>10', 22.000833416540257)	('>50', 8.06710344262369)	('>100', 5.69010713735833)	('>500', 0.804423049167493)	('>1k', 1.3405008618267136)	('>5k', 0.0)	('>10k+', 0.0)
highN4A7	(1.0, 55.116329756359306)	(2.0, 2.1588729534174003)	(3.0, 1.0464478099267076)	(4.0, 0.7886414352262576)	(5.0, 0.7525865116354911)	(6.0, 0.6950737787362995)	(7.0, 0.5479523766302129)	(8.0, 0.5391610488867571)	(9.0, 0.5481094891257463)	('>10', 12.298304616625758)	('>50', 7.040413260742564)	('>100', 12.313913277681936)	('>500', 1.8835774085527488)	('>1k', 3.4715268736177376)	('>5k', 0.3027884819113389)	('>10k+', 0.4963009209237119)
highN4A8	(1.0, 53.72682574045725)	(2.0, 2.7297016741697058)	(3.0, 1.200711560066582)	(4.0, 0.8744670450993435)	(5.0, 0.6412483259569275)	(6.0, 0.5663845118182174)	(7.0, 0.5209749161926405)	(8.0, 0.4853341052884372)	(9.0, 0.4246190629356305)	('>10', 9.242256057097045)	('>50', 5.849141893812054)	('>100', 12.674255808840105)	('>500', 3.2936378349671487)	('>1k', 4.199022495193662)	('>5k', 2.2528008361860024)	('>10k+', 1.3186181319192538)
highN4B1	(1.0, 57.118548205336026)	(2.0, 2.824845744395519)	(3.0, 1.203101066087113)	(4.0, 0.8267888638395812)	(5.0, 0.634472910651275)	(6.0, 0.5494509033920373)	(7.0, 0.49388144075693546)	(8.0, 0.4158609427649144)	(9.0, 0.4093486114515694)	('>10', 8.92959137537875)	('>50', 5.651690724531474)	('>100', 11.167867785801771)	('>500', 2.6273018751839956)	('>1k', 3.9632813660823594)	('>5k', 1.8838028086525613)	('>10k+', 1.3001653756940939)
highN4B2	(1.0, 59.024166874578285)	(2.0, 2.2604814221685183)	(3.0, 1.0629938424239074)	(4.0, 0.813115633445265)	(5.0, 0.6841883690086764)	(6.0, 0.6480957859758724)	(7.0, 0.5774505082456878)	(8.0, 0.5483481721170871)	(9.0, 0.5039618741917711)	('>10', 11.350100822101705)	('>50', 6.201368130059153)	('>100', 10.51663328900411)	('>500', 1.5694816705894992)	('>1k', 3.4701110846893535)	('>5k', 0.2699789530858313)	('>10k+', 0.49952356831528233)
highN4B3	(1.0, 59.35051740660153)	(2.0, 1.5899977462691992)	(3.0, 0.8746712947964034)	(4.0, 0.7241142793145394)	(5.0, 0.7158567529150445)	(6.0, 0.6734111625044006)	(7.0, 0.6485130940342902)	(8.0, 0.6660813306572752)	(9.0, 0.6406223217630315)	('>10', 19.088780706291487)	('>50', 7.5539532064639285)	('>100', 5.744177424683887)	('>500', 0.5039217419784848)	('>1k', 1.225381531726555)	('>5k', 0.0)	('>10k+', 0.0)
highN4B4	(1.0, 60.91753730247766)	(2.0, 1.592761869031796)	(3.0, 0.8559878432354043)	(4.0, 0.7126534497336765)	(5.0, 0.7259715948795473)	(6.0, 0.6873454924716947)	(7.0, 0.6426408146927512)	(8.0, 0.6785048602448085)	(9.0, 0.6832846778242159)	('>10', 19.111035399284294)	('>50', 7.301953163499551)	('>100', 5.0055747117627)	('>500', 0.43490780943558416)	('>1k', 0.4196681410401774)	('>5k', 0.23017287038618076)	('>10k+', 0.0)
highN4B5	(1.0, 57.057857003908)	(2.0, 3.066260491422309)	(3.0, 1.2444207731537582)	(4.0, 0.9212788606402693)	(5.0, 0.7065701761666247)	(6.0, 0.6099860537858081)	(7.0, 0.5423027387611368)	(8.0, 0.4956244847885873)	(9.0, 0.439269393266231)	('>10', 8.289584704712388)	('>50', 4.662698395455419)	('>100', 10.610553040083351)	('>500', 2.818718190955306)	('>1k', 3.331248271328641)	('>5k', 2.021500980359905)	('>10k+', 3.1821264412123207)
highN4B6	(1.0, 57.41927104241261)	(2.0, 2.07491722135228)	(3.0, 1.104727496820937)	(4.0, 0.8654957888055318)	(5.0, 0.7597722938905594)	(6.0, 0.7643522641690818)	(7.0, 0.672802549735288)	(8.0, 0.6450745742026117)	(9.0, 0.6224546937563563)	('>10', 13.436684360864264)	('>50', 6.564056895355046)	('>100', 9.763785426938993)	('>500', 1.2741524162247335)	('>1k', 3.2966654002405003)	('>5k', 0.2702301698767622)	('>10k+', 0.46555740535442186)
highN4B7	(1.0, 59.79370724725142)	(2.0, 1.5453471825369456)	(3.0, 0.8624264761673403)	(4.0, 0.7500423668029914)	(5.0, 0.7116325745699122)	(6.0, 0.7521996395518072)	(7.0, 0.6855013590517804)	(8.0, 0.6986295662747624)	(9.0, 0.7342552032070089)	('>10', 19.57618070670429)	('>50', 7.293129326318989)	('>100', 5.079754439596511)	('>500', 0.5127587349598349)	('>1k', 1.004435177006404)	('>5k', 0.0)	('>10k+', 0.0)
highN4B8	(1.0, 60.862928039225686)	(2.0, 1.6607065938709558)	(3.0, 0.9348062419304486)	(4.0, 0.7942140258263027)	(5.0, 0.7721300201154654)	(6.0, 0.7675205978806503)	(7.0, 0.7126642423936702)	(8.0, 0.6989829572143824)	(9.0, 0.7238316696007135)	('>10', 19.87188152298651)	('>50', 6.918459988703585)	('>100', 4.201885160993417)	('>500', 0.4928464542321077)	('>1k', 0.3699471505065415)	('>5k', 0.2171953345195601)	('>10k+', 0.0)
highN4C1	(1.0, 59.12975150869819)	(2.0, 1.7418457668880043)	(3.0, 0.9500620672425858)	(4.0, 0.8867375144830223)	(5.0, 0.8213122481540827)	(6.0, 0.8011566310167412)	(7.0, 0.7546333297708209)	(8.0, 0.7959503737308228)	(9.0, 0.8100938453128225)	('>10', 19.41463253921354)	('>50', 6.997880755873563)	('>100', 4.950314377285324)	('>500', 0.7185222328904693)	('>1k', 1.2271068094400202)	('>5k', 0.0)	('>10k+', 0.0)
highN4C2	(1.0, 55.244966919762916)	(2.0, 3.198860052602117)	(3.0, 1.360745884437472)	(4.0, 0.8941285851823202)	(5.0, 0.6817758494819334)	(6.0, 0.535702818071916)	(7.0, 0.5062192636799663)	(8.0, 0.41692302250490587)	(9.0, 0.35226899367582803)	('>10', 7.483293467269547)	('>50', 4.731364425715761)	('>100', 11.280756807569464)	('>500', 3.698612777994434)	('>1k', 4.231462269089254)	('>5k', 1.9854105882114055)	('>10k+', 3.3975082747508005)
highN4C3	(1.0, 57.51454001287528)	(2.0, 1.6736933000421714)	(3.0, 1.0239593831430465)	(4.0, 0.967392854068794)	(5.0, 0.9057848581868301)	(6.0, 0.8811404180881454)	(7.0, 0.8631909108316114)	(8.0, 0.9014384595898008)	(9.0, 0.8354498296297768)	('>10', 22.056874365112954)	('>50', 7.133413595772034)	('>100', 4.197402794288488)	('>500', 0.3932755991655832)	('>1k', 0.3926258047083955)	('>5k', 0.25981781449703883)	('>10k+', 0.0)
highN4C4	(1.0, 57.61121277479676)	(2.0, 2.346186349234329)	(3.0, 1.110524834675198)	(4.0, 0.8727875093908193)	(5.0, 0.746844006821799)	(6.0, 0.6606247522558869)	(7.0, 0.6285532202600286)	(8.0, 0.5849014325812504)	(9.0, 0.543563319782945)	('>10', 11.066867432084326)	('>50', 6.184565016870717)	('>100', 10.884959963942332)	('>500', 2.276671079817964)	('>1k', 3.013772122994547)	('>5k', 0.9725826519533415)	('>10k+', 0.4953835325377733)
highN4C5	(1.0, 59.53310641887837)	(2.0, 1.7326410668686554)	(3.0, 1.031579878431433)	(4.0, 0.8902596371640478)	(5.0, 0.9040823288523698)	(6.0, 0.8293468317103305)	(7.0, 0.8503418845764145)	(8.0, 0.7711487087044069)	(9.0, 0.8047068507095835)	('>10', 19.51717886448594)	('>50', 6.640812250137499)	('>100', 4.733631363273435)	('>500', 0.605094791994078)	('>1k', 1.156069124213448)	('>5k', 0.0)	('>10k+', 0.0)
highN4C6	(1.0, 55.88719410531313)	(2.0, 3.0271622740163124)	(3.0, 1.271809393898447)	(4.0, 0.849388254910616)	(5.0, 0.6172144015093841)	(6.0, 0.5517337079136745)	(7.0, 0.4467405022195397)	(8.0, 0.4468904905507671)	(9.0, 0.3746712499943438)	('>10', 8.551533397205498)	('>50', 5.5909062427941345)	('>100', 10.53820866158024)	('>500', 3.46384773541843)	('>1k', 4.5227959785831775)	('>5k', 2.195487243340114)	('>10k+', 1.6644163607521862)
highN4C7	(1.0, 58.815699420763835)	(2.0, 1.6274342505553943)	(3.0, 0.966018334092825)	(4.0, 0.8556251990051618)	(5.0, 0.8152726389329805)	(6.0, 0.8367195494909357)	(7.0, 0.8132419286073744)	(8.0, 0.7284493966873682)	(9.0, 0.7704920810986443)	('>10', 21.29800461367116)	('>50', 7.163336003265465)	('>100', 4.293693290256502)	('>500', 0.3909120210781484)	('>1k', 0.37998961429056916)	('>5k', 0.24511165820361472)	('>10k+', 0.0)
highN4C8	(1.0, 57.579413660744294)	(2.0, 2.33919261437376)	(3.0, 1.1728119495825484)	(4.0, 0.8655859656799153)	(5.0, 0.7898347689276339)	(6.0, 0.7240997496879479)	(7.0, 0.6185022758681945)	(8.0, 0.5488909084728852)	(9.0, 0.5295120821042391)	('>10', 11.552706032342467)	('>50', 6.341581127785284)	('>100', 10.596674030880981)	('>500', 1.9902573455974262)	('>1k', 3.1935891765736613)	('>5k', 0.6664236288835342)	('>10k+', 0.4909246824952116)
highN4D1	(1.0, 58.619005672874366)	(2.0, 2.4216365326480958)	(3.0, 1.0946897593506855)	(4.0, 0.8372304675202474)	(5.0, 0.6984718182781785)	(6.0, 0.6682811697406534)	(7.0, 0.5900703900252589)	(8.0, 0.5382338381436539)	(9.0, 0.49582950261684533)	('>10', 10.697171892528774)	('>50', 6.172912587916591)	('>100', 10.708911801195157)	('>500', 2.047995432687358)	('>1k', 3.3389071165581723)	('>5k', 0.5833499780993145)	('>10k+', 0.48730203981661874)
highN4D2	(1.0, 61.96551725064048)	(2.0, 1.605481294844469)	(3.0, 0.891770925638643)	(4.0, 0.755955931086408)	(5.0, 0.7935147484472804)	(6.0, 0.7487093736113802)	(7.0, 0.6771337558648738)	(8.0, 0.7692317505314198)	(9.0, 0.7422679436180443)	('>10', 19.208255743492046)	('>50', 6.406471257599657)	('>100', 4.159554799796945)	('>500', 0.48735341996447007)	('>1k', 0.5631209235001451)	('>5k', 0.22566088136375226)	('>10k+', 0.0)
highN4D3	(1.0, 55.63659793238433)	(2.0, 3.1512888857737598)	(3.0, 1.3371629189050687)	(4.0, 0.8691400575439974)	(5.0, 0.6429341537416637)	(6.0, 0.5277751901013898)	(7.0, 0.4378860371290924)	(8.0, 0.38028857521308584)	(9.0, 0.3529629315429743)	('>10', 7.5257444433807)	('>50', 5.037579112145476)	('>100', 11.084796932054916)	('>500', 3.664473842783092)	('>1k', 3.9914673077435228)	('>5k', 1.6137975574711638)	('>10k+', 3.7461041220857556)
highN4D4	(1.0, 61.268035917363086)	(2.0, 1.7313095315295246)	(3.0, 1.0188608673833468)	(4.0, 0.9498326975651965)	(5.0, 0.9036203696179981)	(6.0, 0.9022037849400594)	(7.0, 0.8620691681547459)	(8.0, 0.8255043465442147)	(9.0, 0.8205210592122774)	('>10', 19.056363126897267)	('>50', 6.008002294191996)	('>100', 4.022578373988652)	('>500', 0.6868366667623188)	('>1k', 0.9442617958492981)	('>5k', 0.0)	('>10k+', 0.0)
highN4D5	(1.0, 61.18656909472371)	(2.0, 1.6873879291850569)	(3.0, 0.9842535257301795)	(4.0, 0.8835996492876858)	(5.0, 0.868967373826199)	(6.0, 0.755657520921969)	(7.0, 0.8090609214575304)	(8.0, 0.7740509649157854)	(9.0, 0.7898260131970024)	('>10', 19.116942303157206)	('>50', 6.286894437218367)	('>100', 4.320794665621566)	('>500', 0.5735947220411759)	('>1k', 0.9624008787165496)	('>5k', 0.0)	('>10k+', 0.0)
highN4D6	(1.0, 61.295813445741324)	(2.0, 1.6371187235192468)	(3.0, 0.9255071174364693)	(4.0, 0.8230873009488705)	(5.0, 0.8402992532648901)	(6.0, 0.8444660582725161)	(7.0, 0.7728743465333923)	(8.0, 0.7963087698136511)	(9.0, 0.7592300744849111)	('>10', 20.32897922121463)	('>50', 6.3032510155847685)	('>100', 3.75019632775323)	('>500', 0.3259046305454486)	('>1k', 0.5969637148867232)	('>5k', 0.0)	('>10k+', 0.0)
