Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
LD1B6	(1.0, 58.29758617555431)	(2.0, 0.9597648317033719)	(3.0, 0.5903420907082919)	(4.0, 0.5457212915374092)	(5.0, 0.48368637837530115)	(6.0, 0.46310326771786703)	(7.0, 0.4690028867165067)	(8.0, 0.45495671848657426)	(9.0, 0.41999111987043086)	('>10', 13.916752074798469)	('>50', 9.510816072737983)	('>100', 10.873034092957964)	('>500', 0.9353187334961081)	('>1k', 1.4697167343906434)	('>5k', 0.6102075309487224)	('>10k+', 0.0)
LD1B7	(1.0, 65.36070064230374)	(2.0, 1.0787716170634916)	(3.0, 0.6407045159368399)	(4.0, 0.5724745754662192)	(5.0, 0.5473119943573079)	(6.0, 0.529339717743925)	(7.0, 0.4786373012779401)	(8.0, 0.5135761194315558)	(9.0, 0.4758962639669425)	('>10', 13.162908248882827)	('>50', 7.283416879765303)	('>100', 7.351925205010333)	('>500', 0.5353130811649424)	('>1k', 1.2060828809182982)	('>5k', 0.0)	('>10k+', 0.26294095671033463)
LD1C1	(1.0, 58.93989145619835)	(2.0, 0.797754735611254)	(3.0, 0.41749422581217904)	(4.0, 0.3915669120590803)	(5.0, 0.33400269036645364)	(6.0, 0.29710708215854026)	(7.0, 0.29837482501102586)	(8.0, 0.3375889245917416)	(9.0, 0.31704935101519677)	('>10', 10.843912085437314)	('>50', 9.142637850266219)	('>100', 14.246198750065151)	('>500', 1.301635954814903)	('>1k', 1.4230608332590868)	('>5k', 0.3512881230197029)	('>10k+', 0.5604362003138441)
LD1C10	(1.0, 56.21815439212061)	(2.0, 2.8439122887425587)	(3.0, 1.5232943565215933)	(4.0, 1.0856551259357388)	(5.0, 0.8538381728707267)	(6.0, 0.7522692559456305)	(7.0, 0.6931700229751889)	(8.0, 0.5972301843846534)	(9.0, 0.5393141729786244)	('>10', 9.243832257017822)	('>50', 3.7460303883140367)	('>100', 5.885336612546432)	('>500', 1.0850935658587189)	('>1k', 1.9393623647102107)	('>5k', 1.1061946893433527)	('>10k+', 11.887312149734116)
LD1C2	(1.0, 59.55457919399462)	(2.0, 1.0537521644127261)	(3.0, 0.5805273738740805)	(4.0, 0.5404154575307072)	(5.0, 0.4565546755146048)	(6.0, 0.4264315966315995)	(7.0, 0.4149295104691557)	(8.0, 0.4255272567238742)	(9.0, 0.4037016445145721)	('>10', 12.793392311046556)	('>50', 8.633294148341918)	('>100', 10.969689699940753)	('>500', 0.8817769524457335)	('>1k', 1.92512604314568)	('>5k', 0.48481216121493803)	('>10k+', 0.45548981019843265)
LD1C3	(1.0, 63.966430794955265)	(2.0, 0.8883464512026087)	(3.0, 0.48543373568904724)	(4.0, 0.3881382754151331)	(5.0, 0.35659136323793744)	(6.0, 0.4028519616388057)	(7.0, 0.3891339525468245)	(8.0, 0.3723229288435839)	(9.0, 0.3486946669876316)	('>10', 11.529508589757304)	('>50', 7.685744576823272)	('>100', 11.091138143392934)	('>500', 0.7789735387882765)	('>1k', 0.9016010372710018)	('>5k', 0.1458813352241912)	('>10k+', 0.2692086482262213)
LD1C4	(1.0, 62.36126601161507)	(2.0, 1.6022852366328302)	(3.0, 0.9043892604882235)	(4.0, 0.685385751399503)	(5.0, 0.6455554496279815)	(6.0, 0.5388094066306001)	(7.0, 0.5074400691441681)	(8.0, 0.5007303556762319)	(9.0, 0.495475314103047)	('>10', 11.53934698706472)	('>50', 5.921960595185762)	('>100', 7.318553302282075)	('>500', 0.8025932443638929)	('>1k', 2.1033155114679554)	('>5k', 0.8493821607194477)	('>10k+', 3.2235113435985325)
LD1C5	(1.0, 66.85847691895664)	(2.0, 1.0124563243898104)	(3.0, 0.5078243250221578)	(4.0, 0.44146917734394886)	(5.0, 0.442529120152244)	(6.0, 0.4201802468148079)	(7.0, 0.3971885370583128)	(8.0, 0.39010691264885755)	(9.0, 0.3557629464266748)	('>10', 11.209740335139253)	('>50', 7.144061553587287)	('>100', 8.989125404811363)	('>500', 0.6496933759419856)	('>1k', 0.7592290825371326)	('>5k', 0.16627831179527958)	('>10k+', 0.2558774273741637)
LD1C6	(1.0, 58.60094259851729)	(2.0, 0.9188132543405639)	(3.0, 0.5563509944628218)	(4.0, 0.4766435390052469)	(5.0, 0.43720045198590507)	(6.0, 0.4484800540839641)	(7.0, 0.4719377068943641)	(8.0, 0.4047824307518673)	(9.0, 0.44386852748150174)	('>10', 13.796962303837706)	('>50', 9.529250527976332)	('>100', 11.22578537809544)	('>500', 0.9143453961382728)	('>1k', 1.2397552621138348)	('>5k', 0.0)	('>10k+', 0.5348815743148724)
LD1C7	(1.0, 67.33878152756688)	(2.0, 1.0568632883330051)	(3.0, 0.5594187561246167)	(4.0, 0.4749684338280465)	(5.0, 0.43370713463587807)	(6.0, 0.42828673624716795)	(7.0, 0.4098619166000569)	(8.0, 0.4112238143666304)	(9.0, 0.3891485518659994)	('>10', 11.245079451817958)	('>50', 6.8331468305368155)	('>100', 7.881801017440937)	('>500', 0.6886454267335785)	('>1k', 1.3305645967066089)	('>5k', 0.5185025171959627)	('>10k+', 0.0)
LD1C8	(1.0, 48.394913883968236)	(2.0, 3.9732046293816636)	(3.0, 2.345742025880757)	(4.0, 1.7933570137467512)	(5.0, 1.4621809444364673)	(6.0, 1.228404626379498)	(7.0, 1.0753816178081483)	(8.0, 0.9310594781317105)	(9.0, 0.7996483956336283)	('>10', 10.460294775547094)	('>50', 3.3351126913281006)	('>100', 4.624962930708681)	('>500', 0.8471019386233103)	('>1k', 2.5735698281189547)	('>5k', 0.39515614228398416)	('>10k+', 15.759909078022998)
LD1C9	(1.0, 65.90759755461345)	(2.0, 1.254998029840186)	(3.0, 0.6675119241389298)	(4.0, 0.5060311840337937)	(5.0, 0.5004956530809465)	(6.0, 0.4707133478805163)	(7.0, 0.41663115591787797)	(8.0, 0.42483516392652493)	(9.0, 0.43315652662927484)	('>10', 11.249924956786284)	('>50', 6.251661213061813)	('>100', 7.679030387843702)	('>500', 0.7738330937684403)	('>1k', 1.6924154491347296)	('>5k', 0.7958332108981441)	('>10k+', 0.9753311484453239)
LD1D1	(1.0, 46.763287114159326)	(2.0, 2.3540674147677443)	(3.0, 1.2085346184112429)	(4.0, 0.885067696373628)	(5.0, 0.7399483344491603)	(6.0, 0.6327949337194971)	(7.0, 0.5830427699974888)	(8.0, 0.5379546024593678)	(9.0, 0.5201952880946489)	('>10', 9.6350465575573)	('>50', 4.488986823409617)	('>100', 7.157224739401668)	('>500', 1.3767374590040908)	('>1k', 2.7557575002203496)	('>5k', 1.7006438839711375)	('>10k+', 18.66071026400373)
