task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
155	ce/226a77	1363315	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD1D8)	COMPLETED	0	2024-11-10 11:55:15.337	32.5s	32s	512.4%	202.2 MB	2.7 GB	2.2 GB	2.2 GB
156	21/7b7a6c	1366208	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD1D7)	COMPLETED	0	2024-11-10 11:55:47.883	29.1s	28s	513.2%	204.5 MB	2.7 GB	2 GB	2 GB
157	ec/905bf9	1369082	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD1D4)	COMPLETED	0	2024-11-10 11:56:16.944	27.9s	27s	512.5%	200.7 MB	2.7 GB	1.9 GB	1.9 GB
158	4a/4ec48e	1371838	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD1D10)	COMPLETED	0	2024-11-10 11:56:44.871	30.7s	30s	513.9%	204.4 MB	2.7 GB	2.1 GB	2.1 GB
159	2d/c72e2f	1374720	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD1D2)	COMPLETED	0	2024-11-10 11:57:15.574	29.6s	29s	508.2%	200.4 MB	2.7 GB	1.8 GB	1.8 GB
160	2e/e787b6	1377602	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD1D3)	COMPLETED	0	2024-11-10 11:57:45.171	33.3s	32s	421.4%	204.3 MB	2.7 GB	1.8 GB	1.7 GB
161	28/1c940a	1380494	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD1D6)	COMPLETED	0	2024-11-10 11:58:18.484	30.6s	30s	512.0%	203.7 MB	2.7 GB	1.9 GB	1.9 GB
162	b8/c3f50f	1383377	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (LD1D9)	COMPLETED	0	2024-11-10 11:58:49.082	1m 6s	1m 5s	231.3%	205.8 MB	2.8 GB	2.2 GB	2.2 GB
163	ac/a870f9	1386943	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22A4)	COMPLETED	0	2024-11-10 11:59:54.898	18.9s	18s	506.9%	202 MB	2.7 GB	1.2 GB	1.2 GB
164	89/8af3cc	1389403	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22A3)	COMPLETED	0	2024-11-10 12:00:13.779	21.5s	21s	502.5%	200.4 MB	2.8 GB	1.4 GB	1.4 GB
165	89/a36f39	1391866	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22A1)	COMPLETED	0	2024-11-10 12:00:35.287	27.1s	27s	510.0%	199.2 MB	2.8 GB	1.7 GB	1.7 GB
166	8a/857557	1394546	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22A2)	COMPLETED	0	2024-11-10 12:01:02.428	27.7s	27s	508.8%	200.7 MB	2.7 GB	1.7 GB	1.7 GB
167	ce/4799f6	1397224	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22A6)	COMPLETED	0	2024-11-10 12:01:30.110	22.6s	22s	504.5%	197.2 MB	2.7 GB	1.4 GB	1.4 GB
